
==============================================================================
SUMMARY — every coordinate tested, its source, and what ablation says
==============================================================================

### huggyllama/llama-7b
    revision: 4782ad278652c7c71b72204d462d6d01eaaf7549   baseline ppl: 5.39
    coordinate           source             weight   ppl x      KL  verdict
    L30[3968,7508]       found              2.1230    x1.2   0.015  no effect
    L30[3968,192]        found             -1.9326    x1.0   0.000  no effect
    L30[3968,4021]       found              1.9766    x1.0   0.000  no effect
    L30[3968,9247]       found              1.9775    x1.0   0.000  no effect
    L30[3840,192]        found             -0.1334    x1.0   0.000  no effect
    L30[3840,5177]       found              0.2094    x1.0   0.000  no effect
    L30[3840,4021]       found              0.0943    x1.0   0.000  no effect
    L30[3840,7508]       found              0.0286    x1.0   0.000  no effect
    L30[3619,7508]       found             -0.0819    x1.0   0.000  no effect
    L30[3619,192]        found              0.0967    x1.0   0.000  no effect
    L30[3619,5177]       found             -0.1611    x1.0   0.000  no effect
    L30[3619,4021]       found             -0.0906    x1.0   0.000  no effect
    L30[777,7508]        found              0.0350    x1.0   0.000  no effect
    L30[777,192]         found             -0.0447    x1.0   0.000  no effect
    L30[777,9247]        found              0.0569    x1.0   0.000  no effect
    L30[777,7511]        found             -0.0560    x1.0   0.000  no effect
    L2[3968,7003]        found + table2    -1.9268    x6.0   1.056  CATASTROPHIC
    L2[3840,7003]        found             -0.1879    x1.1   0.002  no effect
    L2[3619,7003]        found              0.1069    x1.0   0.002  no effect
    L2[3619,4090]        found              0.1128    x1.0   0.000  no effect
    L2[704,4090]         found             -0.2017    x1.0   0.001  no effect
    L2[704,7003]         found             -0.0106    x1.0   0.000  no effect
    L31[3840,10905]      found             -2.4922    x1.0   0.000  no effect
    L31[3840,2740]       found              1.5869    x1.0   0.000  no effect
    L31[3840,1876]       found             -0.8301    x1.0   0.000  no effect
    L31[3840,4037]       found              0.5107    x1.0   0.000  no effect
    L31[2708,4037]       found             -0.1255    x1.0   0.000  no effect
    L31[2708,907]        found              0.1500    x1.0   0.000  no effect
    L31[2708,2332]       found              0.1406    x1.0   0.000  no effect
    L31[2708,3813]       found              0.2646    x1.0   0.000  no effect
    L31[2336,1876]       found              0.1292    x1.0   0.000  no effect
    L31[2336,3824]       found             -0.0963    x1.0   0.000  no effect
    L31[2336,8494]       found             -0.0808    x1.0   0.000  no effect
    L31[2336,1116]       found              0.0784    x1.0   0.000  no effect
    L31[3619,4037]       found             -0.0900    x1.0   0.000  no effect
    L31[3619,10828]      found             -0.0789    x1.0   0.000  no effect
    L31[3619,10905]      found              0.0956    x1.0   0.000  no effect
    L31[3619,907]        found             -0.0912    x1.0   0.000  no effect
    L2[3968,4090]        found             -1.6719    x1.1   0.002  no effect
    L2[2172,7003]        found              0.0280    x1.0   0.001  no effect
    L2[2172,4090]        found              0.0255    x1.0   0.000  no effect
    L2[830,4090]         found              0.1481    x1.0   0.001  no effect
    L2[690,7003]         found             -0.0236    x1.0   0.001  no effect
    L2[690,4090]         found             -0.0290    x1.0   0.000  no effect
    L30[3968,1739]       found             -1.5342    x1.0   0.000  no effect
    L30[3968,1178]       found              1.6924    x1.0   0.000  no effect
    L30[3968,3145]       found             -1.5820    x1.0   0.000  no effect
    L30[3968,6036]       found              1.6611    x1.0   0.000  no effect
    L30[3840,9819]       found              0.6406    x1.0   0.000  no effect
    L30[3840,1178]       found              0.1726    x1.0   0.000  no effect
    L30[3840,8197]       found              0.0918    x1.0   0.000  no effect
    L30[3840,3145]       found             -0.1425    x1.0   0.000  no effect
    L30[4061,4356]       found             -0.1252    x1.0   0.000  no effect
    L30[4061,8290]       found             -0.0421    x1.0   0.000  no effect
    L30[4061,6003]       found              0.1409    x1.0   0.000  no effect
    L30[4061,3164]       found             -0.1897    x1.0   0.000  no effect
    L30[1073,192]        found             -0.0329    x1.0   0.000  no effect
    L30[1073,10489]      found              0.0347    x1.0   0.000  no effect
    L30[1073,4021]       found              0.0269    x1.0   0.000  no effect
    L30[1073,155]        found              0.0465    x1.0   0.000  no effect
    L4[3968,10613]       found             -1.3271    x1.0   0.000  no effect
    L4[3968,2504]        found             -1.1943    x1.0   0.000  no effect
    L4[3968,529]         found             -0.9243    x1.0   0.000  no effect
    L4[3968,2550]        found              0.7563    x1.0   0.000  no effect
    L4[954,10613]        found              0.1368    x1.0   0.000  no effect
    L4[954,6912]         found             -0.1499    x1.0   0.000  no effect
    L4[954,2504]         found              0.1541    x1.0   0.000  no effect
    L4[954,2550]         found             -0.0998    x1.0   0.000  no effect
    L4[704,6912]         found              0.6738    x1.0   0.000  no effect
    L4[704,10613]        found              0.0397    x1.0   0.000  no effect
    L4[704,2550]         found              0.1305    x1.0   0.000  no effect
    L4[704,529]          found             -0.1245    x1.0   0.000  no effect
    L4[3577,6912]        found              0.1904    x1.0   0.000  no effect
    L4[3577,10613]       found             -0.0419    x1.0   0.000  no effect
    L4[3577,2550]        found              0.1472    x1.0   0.000  no effect
    L4[3577,529]         found             -0.0732    x1.0   0.000  no effect
    L31[2708,6030]       found              0.3250    x1.0   0.000  no effect
    L31[2708,1099]       found              0.2214    x1.0   0.000  no effect
    L31[2708,5007]       found             -0.2096    x1.0   0.000  no effect
    L31[2708,3750]       found              0.1636    x1.0   0.000  no effect
    L31[3840,1099]       found              0.7124    x1.0   0.000  no effect
    L31[3840,10656]      found              0.3420    x1.0   0.000  no effect
    L31[3840,6156]       found              0.3357    x1.0   0.000  no effect
    L31[3840,4096]       found              0.5122    x1.0   0.000  no effect
    L31[1659,8236]       found             -0.1407    x1.0   0.000  no effect
    L31[1659,10656]      found             -0.1051    x1.0   0.000  no effect
    L31[1659,3597]       found             -0.0683    x1.0   0.000  no effect
    L31[1659,2725]       found             -0.0986    x1.0   0.000  no effect
    L31[4053,6030]       found              0.2712    x1.0   0.000  no effect
    L31[4053,7984]       found             -0.0851    x1.0   0.000  no effect
    L31[4053,4096]       found             -0.1660    x1.0   0.000  no effect
    L31[4053,10656]      found             -0.0784    x1.0   0.000  no effect
    L28[3968,2212]       found             -0.7588    x1.0   0.000  no effect
    L28[2514,2212]       found              0.1890    x1.0   0.000  no effect
    L28[3650,2212]       found              0.1722    x1.0   0.000  no effect
    L28[704,2212]        found             -0.1742    x1.0   0.000  no effect
    L31[3840,6049]       found             -0.7798    x1.0   0.000  no effect
    L31[3840,10477]      found              1.2578    x1.0   0.000  no effect
    L31[3840,7988]       found             -0.7212    x1.0   0.000  no effect
    L31[3840,8541]       found              0.4666    x1.0   0.000  no effect
    L31[2487,6049]       found              0.1171    x1.0   0.000  no effect
    L31[2487,7988]       found              0.1387    x1.0   0.000  no effect
    L31[2487,1568]       found             -0.1866    x1.0   0.000  no effect
    L31[2487,10477]      found             -0.0994    x1.0   0.000  no effect
    L31[1941,6049]       found              0.1177    x1.0   0.000  no effect
    L31[1941,7988]       found              0.1450    x1.0   0.000  no effect
    L31[1941,10656]      found             -0.1733    x1.0   0.000  no effect
    L31[1941,8731]       found              0.2646    x1.0   0.000  no effect
    L31[1566,6049]       found              0.1068    x1.0   0.000  no effect
    L31[1566,7988]       found              0.1028    x1.0   0.000  no effect
    L31[1566,118]        found             -0.2083    x1.0   0.000  no effect
    L31[1566,3417]       found              0.1289    x1.0   0.000  no effect
    L31[3840,737]        found              0.5029    x1.0   0.000  no effect
    L31[3840,5876]       found             -0.6987    x1.0   0.000  no effect
    L31[3840,9434]       found             -0.4863    x1.0   0.000  no effect
    L31[3840,9040]       found              0.5527    x1.0   0.000  no effect
    L31[1985,6049]       found             -0.1394    x1.0   0.000  no effect
    L31[1985,7988]       found             -0.1194    x1.0   0.000  no effect
    L31[1985,10656]      found              0.1743    x1.0   0.000  no effect
    L31[1985,8731]       found             -0.3027    x1.0   0.001  no effect
    L31[2502,6049]       found             -0.0988    x1.0   0.000  no effect
    L31[2502,7988]       found             -0.0739    x1.0   0.000  no effect
    L31[2502,8494]       found             -0.1005    x1.0   0.000  no effect
    L31[2502,10656]      found              0.0740    x1.0   0.000  no effect
    L31[150,1568]        found             -0.2302    x1.0   0.000  no effect
    L31[150,7988]        found              0.0815    x1.0   0.000  no effect
    L31[150,6049]        found              0.0416    x1.0   0.000  no effect
    L31[150,6156]        found              0.0851    x1.0   0.000  no effect
    L31[3840,1258]       found             -0.7656    x1.0   0.000  no effect
    L31[3840,4751]       found             -0.7842    x1.0   0.000  no effect
    L31[3840,7899]       found             -0.5024    x1.0   0.000  no effect
    L31[3840,8030]       found              0.4128    x1.0   0.000  no effect
    L31[1566,1568]       found             -0.0952    x1.0   0.000  no effect
    L31[1566,5777]       found             -0.1300    x1.0   0.000  no effect
    L31[1566,4751]       found              0.1547    x1.0   0.000  no effect
    L31[1566,1410]       found             -0.1115    x1.0   0.000  no effect
    L31[1534,8030]       found             -0.1597    x1.0   0.000  no effect
    L31[1534,7988]       found              0.0780    x1.0   0.000  no effect
    L31[1534,1568]       found             -0.1141    x1.0   0.000  no effect
    L31[1534,6049]       found              0.0531    x1.0   0.000  no effect
    L31[150,118]         found             -0.1899    x1.0   0.000  no effect
    L31[150,3417]        found              0.1389    x1.0   0.000  no effect
    L31[150,1688]        found             -0.2115    x1.0   0.000  no effect
    L31[150,4751]        found              0.1903    x1.0   0.000  no effect
    L31[3840,2121]       found             -1.2871    x1.0   0.000  no effect
    L31[3840,6712]       found             -0.4014    x1.0   0.000  no effect
    L31[3840,118]        found              0.4207    x1.0   0.000  no effect
    L31[3840,10267]      found             -1.2363    x1.0   0.000  no effect
    L31[1566,7899]       found             -0.0774    x1.0   0.000  no effect
    L31[1566,3813]       found              0.2266    x1.0   0.000  no effect
    L31[1566,8169]       found              0.0518    x1.0   0.000  no effect
    L31[1566,9040]       found              0.0407    x1.0   0.000  no effect
    L31[2487,8541]       found              0.0604    x1.0   0.000  no effect
    L31[2487,3417]       found              0.1292    x1.0   0.000  no effect
    L31[2487,118]        found             -0.1594    x1.0   0.000  no effect
    L31[2487,9434]       found             -0.0582    x1.0   0.000  no effect
    L31[150,8241]        found             -0.1742    x1.0   0.000  no effect
    L31[150,8541]        found              0.0468    x1.0   0.000  no effect
    L31[150,9040]        found              0.0867    x1.0   0.000  no effect
    L31[150,1410]        found             -0.1368    x1.0   0.000  no effect
    L31[3840,7600]       found             -0.5771    x1.0   0.000  no effect
    L31[3840,10129]      found              0.3782    x1.0   0.000  no effect
    L31[3840,8768]       found              0.3660    x1.0   0.000  no effect
    L31[3840,8580]       found             -0.2233    x1.0   0.000  no effect
    L31[1941,3417]       found              0.1667    x1.0   0.000  no effect
    L31[1941,9040]       found              0.1475    x1.0   0.000  no effect
    L31[1941,8580]       found             -0.1090    x1.0   0.000  no effect
    L31[1941,1568]       found              0.1228    x1.0   0.000  no effect
    L31[3151,6049]       found             -0.0670    x1.0   0.000  no effect
    L31[3151,7988]       found             -0.0651    x1.0   0.000  no effect
